PERMNO,date,TICKER,RET
84398,20171030,SPY,-0.003725
84398,20171031,SPY,0.001558
84398,20171101,SPY,0.001322
84398,20171102,SPY,0.000388
84398,20171103,SPY,0.003339
84398,20171106,SPY,0.001548
84398,20171107,SPY,-0.000695
84398,20171108,SPY,0.001701
84398,20171109,SPY,-0.003628
84398,20171110,SPY,-0.000310
84398,20171113,SPY,0.000930
84398,20171114,SPY,-0.002323
84398,20171115,SPY,-0.005005
84398,20171116,SPY,0.008501
84398,20171117,SPY,-0.002939
84398,20171120,SPY,0.001706
84398,20171121,SPY,0.006543
84398,20171122,SPY,-0.000885
84398,20171124,SPY,0.002310
84398,20171127,SPY,-0.000499
84398,20171128,SPY,0.010145
84398,20171129,SPY,-0.000609
84398,20171130,SPY,0.008755
84398,20171201,SPY,-0.002075
84398,20171204,SPY,-0.001210
84398,20171205,SPY,-0.003597
84398,20171206,SPY,0.000190
84398,20171207,SPY,0.003153
84398,20171208,SPY,0.005453
84398,20171211,SPY,0.003013
84398,20171212,SPY,0.001765
84398,20171213,SPY,-0.000112
84398,20171214,SPY,-0.004086
84398,20171215,SPY,0.008286
84398,20171218,SPY,0.006341
84398,20171219,SPY,-0.003840
84398,20171220,SPY,-0.000524
84398,20171221,SPY,0.002060
84398,20171222,SPY,-0.000262
84398,20171226,SPY,-0.001196
84398,20171227,SPY,0.000487
84398,20171228,SPY,0.002057
84398,20171229,SPY,-0.003771
84398,20180102,SPY,0.007157
84398,20180103,SPY,0.006325
84398,20180104,SPY,0.004215
84398,20180105,SPY,0.006664
84398,20180108,SPY,0.001829
84398,20180109,SPY,0.002263
84398,20180110,SPY,-0.001530
84398,20180111,SPY,0.007296
84398,20180112,SPY,0.006519
84398,20180116,SPY,-0.003418
84398,20180117,SPY,0.009532
84398,20180118,SPY,-0.001681
84398,20180119,SPY,0.004550
84398,20180122,SPY,0.008131
84398,20180123,SPY,0.002122
84398,20180124,SPY,-0.000388
84398,20180125,SPY,0.000424
84398,20180126,SPY,0.011578
84398,20180129,SPY,-0.006630
84398,20180130,SPY,-0.010257
84398,20180131,SPY,0.000497
84398,20180201,SPY,-0.001135
84398,20180202,SPY,-0.021770
84398,20180205,SPY,-0.041823
84398,20180206,SPY,0.019702
84398,20180207,SPY,-0.005425
84398,20180208,SPY,-0.037509
84398,20180209,SPY,0.015022
84398,20180212,SPY,0.014684
84398,20180213,SPY,0.002487
84398,20180214,SPY,0.013496
84398,20180215,SPY,0.012760
84398,20180216,SPY,0.000293
84398,20180220,SPY,-0.006261
84398,20180221,SPY,-0.004974
84398,20180222,SPY,0.001296
84398,20180223,SPY,0.015939
84398,20180226,SPY,0.011612
84398,20180227,SPY,-0.012487
84398,20180228,SPY,-0.010130
84398,20180301,SPY,-0.014541
84398,20180302,SPY,0.005155
84398,20180305,SPY,0.011558
84398,20180306,SPY,0.002535
84398,20180307,SPY,-0.000366
84398,20180308,SPY,0.004839
84398,20180309,SPY,0.017402
84398,20180312,SPY,-0.001255
84398,20180313,SPY,-0.006463
84398,20180314,SPY,-0.005132
84398,20180315,SPY,-0.001090
84398,20180316,SPY,0.001079
84398,20180319,SPY,-0.013530
84398,20180320,SPY,0.001701
84398,20180321,SPY,-0.001919
84398,20180322,SPY,-0.024997
84398,20180323,SPY,-0.021315
84398,20180326,SPY,0.027359
84398,20180327,SPY,-0.017012
84398,20180328,SPY,-0.002955
84398,20180329,SPY,0.012778
84398,20180402,SPY,-0.021585
84398,20180403,SPY,0.012817
84398,20180404,SPY,0.010699
84398,20180405,SPY,0.007892
84398,20180406,SPY,-0.022286
84398,20180409,SPY,0.004928
84398,20180410,SPY,0.015900
84398,20180411,SPY,-0.005242
84398,20180412,SPY,0.008227
84398,20180413,SPY,-0.002933
84398,20180416,SPY,0.008222
84398,20180417,SPY,0.010698
84398,20180418,SPY,0.000740
84398,20180419,SPY,-0.005548
84398,20180420,SPY,-0.008479
84398,20180423,SPY,-0.000150
84398,20180424,SPY,-0.013467
84398,20180425,SPY,0.002472
84398,20180426,SPY,0.010166
84398,20180427,SPY,0.000939
84398,20180430,SPY,-0.007691
84398,20180501,SPY,0.001777
84398,20180502,SPY,-0.006717
84398,20180503,SPY,-0.002204
84398,20180504,SPY,0.012946
84398,20180507,SPY,0.003383
84398,20180508,SPY,0.000000
84398,20180509,SPY,0.009666
84398,20180510,SPY,0.009351
84398,20180511,SPY,0.003051
84398,20180514,SPY,0.000476
84398,20180515,SPY,-0.006887
84398,20180516,SPY,0.004205
84398,20180517,SPY,-0.000845
84398,20180518,SPY,-0.002500
84398,20180521,SPY,0.007519
84398,20180522,SPY,-0.002780
84398,20180523,SPY,0.002751
84398,20180524,SPY,-0.002049
84398,20180525,SPY,-0.002383
84398,20180529,SPY,-0.011501
84398,20180530,SPY,0.013345
84398,20180531,SPY,-0.006126
84398,20180601,SPY,0.009818
84398,20180604,SPY,0.004751
84398,20180605,SPY,0.000728
84398,20180606,SPY,0.008361
84398,20180607,SPY,-0.000108
84398,20180608,SPY,0.002956
84398,20180611,SPY,0.001330
84398,20180612,SPY,0.001292
84398,20180613,SPY,-0.003191
84398,20180614,SPY,0.002518
84398,20180615,SPY,-0.001272
84398,20180618,SPY,-0.002057
84398,20180619,SPY,-0.003833
84398,20180620,SPY,0.001706
84398,20180621,SPY,-0.006269
84398,20180622,SPY,0.001823
84398,20180625,SPY,-0.013613
84398,20180626,SPY,0.002214
84398,20180627,SPY,-0.008284
84398,20180628,SPY,0.005717
84398,20180629,SPY,0.001440
